Unnamed: 0,id,title,brand,price,weight,cpu,ssd,ram,battery
313,11501791,Laptop Lenovo Ideapad 330-14IKBR 81G20079VN Core i3-7020U/ Win10 (14 FHD) - Hàng Chính Hãng,Lenovo,9069000,1.7,Intel Core i3,,4GB,"2 cell 30 Wh, Pin liền"
314,19585276,Apple Macbook Pro Touch Bar 2019 - 15 inchs (i7/ 16GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng,Apple,56509000,1.83,Intel Core i7,True,16GB,
315,22615341,Laptop Dell Vostro 3468 70181693 Core i3-7020U/ Ubuntu (14 HD) - Hàng Chính Hãng,Dell,8990000,2,Intel Core i3,,1 x 4GB,"4 cell 40 Wh , Pin rời"
316,14013893,Laptop HP Pavilion 14-ce1014TU 5JN05PA Core i3-8145U/ Win10 (14,HP,11449000,1.53,Intel Core i3,False,4GB,"3 cell 41 Wh , Pin liền"
317,39717627,Laptop Asus Vivobook S431FA-EB077T Core i7-8565U/ Win10 (14 FHD IPS) - Hàng Chính Hãng,Asus,20109000,,"Intel Core i7-8565U (1.8GHz upto 4.6GHz, 4Cores, 8Threads, 8MB Cache, FSB 4GT/s)",,8GB DDR3 2400MHz,
318,32184250,Laptop Dell Inspiron 5480 : I5-8265U | 4GB RAM | 1TB HDD | UHD Graphics 620 | 14.0 FHD | Finger | Ledkey | FreeDos - Hàng nhập khẩu,Dell,14849000,,,,,
319,15789883,"Laptop HP Notebook 15-DA0051TU (Intel Core I3-7020U/ 4GB RAM DDR4/ 500GB SSD/ 15,6",HP,9890000,,,,,3-Cell 41 Whr Li-ion
320,29253419,Laptop Dell G5 Inspiron 5590 4F4Y42 Core i7-9750H/ RTX 2060 6GB/ Win10 (15.6,Dell,41029000,,Intel Core i7,True,16GB,4cells 60WHr
321,3552567,Laptop Asus Vivobook X507MA-BR064T Pentium N5000/Win10 (15.6 inch) (Gold) - Hàng Chính Hãng,Asus,6999000,1.75,Intel Pentium,False,4GB,3 Cells 33 Whrs
322,45159404,Laptop Asus Zenbook Duo UX481FL-BM049T (Core i7-10510U/ 16GB LPDDR3 2133MHz/ 1TB SSD M.2 PCIE/ MX250 2GB/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,Asus,36559000,1.5,Intel Core i7,True,16GB,4 Cells 70WHrs
323,26412858,Laptop Asus Vivobook S13 S330FA-EY116T Core  i5-8265U/ Win10 (13.3 FHD IPS) - Hàng Chính Hãng,Asus,17819000,1.2,Intel Core i5,,8GB,3 Cells 42WHrs
324,42886893,Laptop ASUS ZenBook UX534FTC-A9168T (Core i5-10210U/ 8GB LPDDR3 2133MHz/ 512GB SSD M.2 PCIE/ GTX 1650 4GB/ 15.6 FHD IPS/ Win10) - Hàng Chính Hãng,Asus,28349000,1.55,Intel Core i5,True,,4 Cell 73WHr Lithium-Polymer
325,40201530,Laptop HP Pavilion 15-CS2031TU 6YZ03PA Core i3-8145U/ Win10 (15.6 FHD) - Hàng Chính Hãng,HP,12279000,,,,"4 GB, DDR4 (2 khe), 2666 MHz - Tối đa 16GB",Li-Ion 3 cell
326,40008230,Laptop Lenovo ThinkPad T490 20N2S03K00 Core i5-8265U/ Dos (14 FHD IPS) - Hàng Chính Hãng,Lenovo,27299000,,Core i5-8265U,True,8GB DDR4 2400MHz,3-Cells 57Whr
327,32253258,Apple Macbook Air 2019 - 13 inchs (i5/ 8GB/ 128GB) - Hàng Chính Hãng,Apple,26468000,1.25,1.6GHz dual-core Intel Core i5,,8GB,50.3Wh LiPo Battery
328,39747966,Laptop Asus Vivobook Flip TP412FA-EC266T Core i5-8265U/ Win10 (14 FHD Touch) - Hàng Chính Hãng,Asus,15739000,1.5,,True,8GB,3 Cells 42WHrs
329,21010662,Laptop Dell Vostro 3580 T3RMD1 Core i5-8265U/ Win10 (15.6 FHD) - Hàng Chính Hãng,Dell,13469000,,"Intel Core i5-8265U (1.6 GHz - 3.9 GHz / 6MB / 4 nhân, 8 luồng)",,1 x 4GB DDR4 2666MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),3 Cell 42WHr
330,39000397,Laptop Asus F571GD-BQ319T Core i5-9300H/ GTX 1050 4GB/ Win10 (15.6 FHD) - Hàng Chính Hãng,Asus,18969000,2.1,Intel Core i5-9300H 2.4GHz up to 4.1GHz 8MB,,"8GB DDR4 2666MHz (2x SO-DIMM socket, up to 32GB SDRAM)",3 Cell 42WHr
331,39999612,Laptop Dell Inspiron 3580 70194511 Core i5-8265U/ AMD Radeon 520 2GB/ Win10 (15.6 FHD) - Hàng Chính Hãng,Dell,14289000,2.28,Intel Core i5,False,4GB,3 Cell 42WHr
332,40151261,Laptop Acer Aspire 3 A315-42-R2NS NX.HF9SV.005 AMD R3-3200U/ Win10 (15.6 FHD) - Hàng Chính Hãng,Acer,9429000,1.7,AMD Ryzen 3,True,4GB,
333,39745887,Laptop Asus Vivobook X407UA-BV551T P-4417U/ Win10 (14 HD) - Hàng Chính Hãng,Asus,7209000,1.55,,True,4GB,3 Cells 33WHrs
334,1016323,Laptop DELL Inspiron 7373 C3TI501OW Core i5 - 8250U/Win10 + Office 13.3 inch - Hàng Chính Hãng,Dell,22990000,,,True,8GB,3 Cell 38Whr
335,1986725,Laptop Lenovo ThinkPad X280 20KFS01B00 Core i7-8550U/Free Dos (12.5 inch) - Black - Hàng Chính Hãng,Lenovo,33500000,1.13,Intel Core i7,True,8GB,6 Cells 48 Whrs
